,Title,Director,Screenwriter,Main_performer,Types,Region,Language,ShowtTime,Film_length,Score,Rating_people,Watching_people,Wtsee_people,Comments_people
0,肖申克的救赎 The Shawshank Redemption,弗兰克·德拉邦特,弗兰克·德拉邦特 / 斯蒂芬·金,蒂姆·罗宾斯 / 摩根·弗里曼 / 鲍勃·冈顿 ,剧情/犯罪, 美国, 英语,1994/9/10,142,9.7,1869808,2644926,271571,337952
1,霸王别姬,陈凯歌,芦苇 / 李碧华,张国荣 / 张丰毅 / 巩俐 ,剧情/爱情/同性, 中国大陆 / 中国香港, 汉语普通话,1993/1/1,171,9.6,1373527,2075888,275105,272480
2,阿甘正传 Forrest Gump,罗伯特·泽米吉斯,艾瑞克·罗斯 / 温斯顿·格鲁姆,汤姆·汉克斯 / 罗宾·怀特 / 加里·西尼斯 ,剧情/爱情, 美国, 英语,1994/6/23,142,9.5,1426947,2265521,218521,217998
3,这个杀手不太冷 Léon,吕克·贝松,吕克·贝松,让·雷诺 / 娜塔莉·波特曼 / 加里·奥德曼 ,剧情/动作/犯罪, 法国, 英语 / 意大利语 / 法语,1994/9/14,110分钟(剧场,9.4,1621799,2613822,236719,267223
4,美丽人生 La vita è bella,罗伯托·贝尼尼,温琴佐·切拉米 / 罗伯托·贝尼尼,罗伯托·贝尼尼 / 尼可莱塔·布拉斯基 / 乔治·坎塔里尼 ,剧情/喜剧/爱情/战争, 意大利, 意大利语 / 德语 / 英语,2020/1/3,116,9.5,907823,1286917,408504,187760
5,泰坦尼克号 Titanic,詹姆斯·卡梅隆,詹姆斯·卡梅隆,莱昂纳多·迪卡普里奥 / 凯特·温丝莱特 / 比利·赞恩 ,剧情/爱情/灾难, 美国, 英语 / 意大利语 / 德语 / 俄语,1998/4/3,194,9.4,1369194,2218940,131456,200023
6,千与千寻 千と千尋の神隠し,宫崎骏,宫崎骏,柊瑠美 / 入野自由 / 夏木真理 ,剧情/动画/奇幻, 日本, 日本,2019/6/21,125,9.3,1461851,2208607,202147,249928
7,辛德勒的名单 Schindler's List,史蒂文·斯皮尔伯格,托马斯·肯尼利 / 斯蒂文·泽里安,连姆·尼森 / 本·金斯利 / 拉尔夫·费因斯 ,剧情/历史/战争, 美国, 英语 / 希伯来语 / 德语 / 波兰语,1993/11/30,195,9.5,730867,1102059,354402,107755
8,盗梦空间 Inception,克里斯托弗·诺兰,克里斯托弗·诺兰,莱昂纳多·迪卡普里奥 / 约瑟夫·高登-莱维特 / 艾伦·佩吉 ,剧情/科幻/悬疑/冒险, 美国 / 英国, 英语 / 日语 / 法语,2010/9/1,148,9.3,1379052,2186479,256177,256102
9,忠犬八公的故事 Hachi: A Dog's Tale,拉斯·霍尔斯道姆,斯蒂芬·P·林赛 / 新藤兼人,理查·基尔 / 萨拉·罗默尔 / 琼·艾伦 ,剧情, 美国 / 英国, 英语 / 日语,2009/6/13,93,9.4,944289,1659236,219309,192419
10,海上钢琴师 La leggenda del pianista sull'oceano,朱塞佩·托纳多雷,亚利桑德罗·巴里克 / 朱塞佩·托纳多雷,蒂姆·罗斯 / 普路特·泰勒·文斯 / 比尔·努恩 ,剧情/音乐, 意大利, 英语 / 法语 / 意大利语,2019/11/15,165,9.3,1143826,1735136,364014,220724
11,机器人总动员 WALL·E,安德鲁·斯坦顿,安德鲁·斯坦顿 / 吉姆·里尔顿 / 彼特·道格特,本·贝尔特 / 艾丽莎·奈特 / 杰夫·格尔林 ,科幻/动画/冒险, 美国, 美国,2008/6/27,98,9.3,909954,1411294,197995,148877
