,movietitle,movieurl
0,肖申克的救赎,https://movie.douban.com/subject/1292052/
1,霸王别姬,https://movie.douban.com/subject/1291546/
2,阿甘正传,https://movie.douban.com/subject/1292720/
3,这个杀手不太冷,https://movie.douban.com/subject/1295644/
4,美丽人生,https://movie.douban.com/subject/1292063/
5,泰坦尼克号,https://movie.douban.com/subject/1292722/
6,千与千寻,https://movie.douban.com/subject/1291561/
7,辛德勒的名单,https://movie.douban.com/subject/1295124/
8,盗梦空间,https://movie.douban.com/subject/3541415/
9,忠犬八公的故事,https://movie.douban.com/subject/3011091/
10,海上钢琴师,https://movie.douban.com/subject/1292001/
11,机器人总动员,https://movie.douban.com/subject/2131459/
12,三傻大闹宝莱坞,https://movie.douban.com/subject/3793023/
13,楚门的世界,https://movie.douban.com/subject/1292064/
14,放牛班的春天,https://movie.douban.com/subject/1291549/
15,星际穿越,https://movie.douban.com/subject/1889243/
16,大话西游之大圣娶亲,https://movie.douban.com/subject/1292213/
17,熔炉,https://movie.douban.com/subject/5912992/
18,疯狂动物城,https://movie.douban.com/subject/25662329/
19,龙猫,https://movie.douban.com/subject/1291560/
20,无间道,https://movie.douban.com/subject/1307914/
21,教父,https://movie.douban.com/subject/1291841/
22,当幸福来敲门,https://movie.douban.com/subject/1849031/
23,怦然心动,https://movie.douban.com/subject/3319755/
24,触不可及,https://movie.douban.com/subject/6786002/
25,蝙蝠侠：黑暗骑士,https://movie.douban.com/subject/1851857/
26,控方证人,https://movie.douban.com/subject/1296141/
27,活着,https://movie.douban.com/subject/1292365/
28,乱世佳人,https://movie.douban.com/subject/1300267/
29,摔跤吧！爸爸,https://movie.douban.com/subject/26387939/
30,少年派的奇幻漂流,https://movie.douban.com/subject/1929463/
31,末代皇帝,https://movie.douban.com/subject/1293172/
32,寻梦环游记,https://movie.douban.com/subject/20495023/
33,指环王3：王者无敌,https://movie.douban.com/subject/1291552/
34,飞屋环游记,https://movie.douban.com/subject/2129039/
35,十二怒汉,https://movie.douban.com/subject/1293182/
36,鬼子来了,https://movie.douban.com/subject/1291858/
37,天空之城,https://movie.douban.com/subject/1291583/
38,何以为家,https://movie.douban.com/subject/30170448/
39,大话西游之月光宝盒,https://movie.douban.com/subject/1299398/
40,哈尔的移动城堡,https://movie.douban.com/subject/1308807/
41,天堂电影院,https://movie.douban.com/subject/1291828/
42,素媛,https://movie.douban.com/subject/21937452/
43,罗马假日,https://movie.douban.com/subject/1293839/
44,闻香识女人,https://movie.douban.com/subject/1298624/
45,辩护人,https://movie.douban.com/subject/21937445/
46,搏击俱乐部,https://movie.douban.com/subject/1292000/
47,死亡诗社,https://movie.douban.com/subject/1291548/
48,窃听风暴,https://movie.douban.com/subject/1900841/
49,教父2,https://movie.douban.com/subject/1299131/
50,哈利·波特与魔法石,https://movie.douban.com/subject/1295038/
